nome_mun,nome_meso,renocup,cpr,emp,p_agro,p_com,p_serv,p_transf,p_formal,popul,pib,porte
Abadia dos Dourados,Triângulo Mineiro/Alto Paranaíba,920.1,36.21,0.2,37.9,7.97,26.86,18.48,41.97,6658,63672.215,pequenoI
Abaeté,Central Mineira,930.85,20.69,1.88,22.08,17.33,40.06,7.37,55.37,22456,226324.643,pequenoII
Abre Campo,Zona da Mata,685.72,26.49,1.22,45.8,10.74,31.92,3.31,35.42,13114,106813.97,pequenoI
Acaiaca,Zona da Mata,646.71,17.84,0.0,25.16,9.24,41.87,4.88,47.42,3919,22440.227000000003,pequenoI
Açucena,Vale do Rio Doce,514.6,19.39,1.14,41.22,5.69,29.89,3.31,39.24,10218,48966.306,pequenoI
Água Boa,Vale do Rio Doce,511.49,21.38,1.63,57.58,6.63,23.31,2.34,25.14,15092,74170.031,pequenoI
Água Comprida,Triângulo Mineiro/Alto Paranaíba,998.23,18.85,2.64,38.81,7.78,42.12,6.6,59.82,1997,79349.571,pequenoI
Aguanil,Oeste de Minas,781.84,19.02,0.93,36.78,5.24,24.49,24.04,50.11,4039,29292.395,pequenoI
Águas Formosas,Vale do Mucuri,640.97,25.55,3.08,34.92,15.6,35.16,4.83,28.9,18362,98201.235,pequenoI
Águas Vermelhas,Norte de Minas,591.65,16.3,0.63,33.63,7.33,30.37,2.64,26.98,12696,132151.652,pequenoI
Aimorés,Vale do Rio Doce,893.84,23.71,2.36,26.29,12.37,40.91,4.92,49.31,24786,254295.89800000002,pequenoII
Aiuruoca,Sul/Sudoeste de Minas,734.85,21.17,1.85,36.35,9.9,35.66,6.04,38.02,6066,47132.389,pequenoI
Alagoa,Sul/Sudoeste de Minas,558.92,36.19,1.37,54.15,7.87,30.5,2.0,27.72,2675,18592.288,pequenoI
Albertina,Sul/Sudoeste de Minas,796.26,23.43,2.23,52.97,6.54,22.83,9.07,42.24,2899,30816.14,pequenoI
Além Paraíba,Zona da Mata,1058.91,17.73,3.02,6.73,20.07,48.36,7.56,71.22,34233,564993.181,pequenoII
Alfenas,Sul/Sudoeste de Minas,1229.94,17.43,3.17,11.93,17.36,47.82,9.22,68.87,73347,1284402.449,medioI
Alfredo Vasconcelos,Campo das Vertentes,657.6,28.32,0.27,35.45,13.2,30.23,9.14,58.37,6075,43379.062000000005,pequenoI
Almenara,Jequitinhonha,708.25,21.43,0.73,25.5,13.86,40.13,4.49,36.99,38452,264550.997,pequenoII
Alpercata,Vale do Rio Doce,750.59,19.65,1.05,19.67,12.73,40.8,8.07,48.49,7123,39024.991,pequenoI
Alpinópolis,Sul/Sudoeste de Minas,1029.25,23.52,2.19,29.99,14.9,30.86,6.85,47.67,18351,203287.60100000002,pequenoI
Alterosa,Sul/Sudoeste de Minas,703.77,25.35,1.57,48.22,10.65,24.84,10.7,46.79,13675,108555.617,pequenoI
Alto Caparaó,Zona da Mata,689.19,24.77,3.64,55.42,9.89,28.99,1.28,31.01,5238,38390.625,pequenoI
Alto Rio Doce,Zona da Mata,460.95,25.46,1.01,46.32,6.41,29.88,3.6,29.64,12053,79308.308,pequenoI
Alvarenga,Vale do Rio Doce,517.53,32.21,1.43,45.69,6.31,31.32,2.97,24.65,4429,21650.741,pequenoI
Alvinópolis,Metropolitana de Belo Horizonte,709.74,20.01,0.64,30.15,11.88,31.0,14.45,54.83,15167,153923.255,pequenoI
Alvorada de Minas,Metropolitana de Belo Horizonte,476.92,33.13,0.88,43.48,4.69,28.56,1.18,18.91,3526,21985.763,pequenoI
Amparo do Serra,Zona da Mata,554.79,21.98,0.76,48.91,7.38,30.65,5.69,38.49,5036,24276.191000000003,pequenoI
Andradas,Sul/Sudoeste de Minas,1020.58,24.38,2.13,33.96,10.26,29.54,16.38,54.97,37150,483673.24700000003,pequenoII
Cachoeira de Pajeú,Jequitinhonha,442.04,12.27,0.91,38.64,15.67,33.62,2.17,24.51,8888,62464.58,pequenoI
Andrelândia,Sul/Sudoeste de Minas,795.97,20.82,2.03,28.5,11.7,39.68,5.8,48.56,12098,97386.286,pequenoI
Angelândia,Jequitinhonha,569.29,16.07,0.0,59.03,6.53,22.85,3.13,36.76,7998,44823.501,pequenoI
Antônio Carlos,Campo das Vertentes,733.39,17.41,0.97,25.03,12.73,38.35,9.01,59.31,11094,104533.436,pequenoI
Antônio Dias,Vale do Rio Doce,699.25,13.13,1.09,30.44,12.13,35.88,4.83,54.72,9544,76642.609,pequenoI
Antônio Prado de Minas,Zona da Mata,739.9,20.61,1.3,38.5,7.04,37.73,6.31,43.72,1671,21125.689,pequenoI
Araçaí,Metropolitana de Belo Horizonte,744.08,13.28,0.37,27.99,7.08,31.26,30.35,66.51,2243,32232.795,pequenoI
Aracitaba,Zona da Mata,553.72,28.82,0.6,35.51,7.66,43.57,2.24,45.4,2058,12473.633,pequenoI
Araçuaí,Jequitinhonha,751.04,23.22,1.83,30.38,11.54,35.41,6.81,45.46,35627,195413.46899999998,pequenoII
Araguari,Triângulo Mineiro/Alto Paranaíba,1204.56,23.3,2.68,12.95,15.42,43.26,13.61,61.79,109297,2147788.685,medioII
Arantina,Sul/Sudoeste de Minas,675.75,14.68,2.01,18.36,12.77,46.09,4.13,61.75,2820,26910.712000000003,pequenoI
Araponga,Zona da Mata,489.93,63.81,0.4,73.61,3.37,17.76,1.65,17.35,8110,40660.467000000004,pequenoI
Araporã,Triângulo Mineiro/Alto Paranaíba,1062.37,9.76,2.76,11.25,12.56,39.97,21.89,76.15,6136,996130.92,pequenoI
Arapuá,Triângulo Mineiro/Alto Paranaíba,1093.67,30.19,0.25,41.05,6.78,30.72,13.45,44.81,2763,48849.887,pequenoI
Araújos,Central Mineira,855.86,22.86,3.35,15.7,13.72,25.88,33.11,54.32,7845,116157.135,pequenoI
Araxá,Triângulo Mineiro/Alto Paranaíba,1357.09,17.98,1.84,8.39,15.02,45.46,8.65,73.27,93153,2573182.641,medioI
Arceburgo,Sul/Sudoeste de Minas,900.41,16.44,1.22,35.4,8.27,22.6,25.05,79.09,9467,174256.22699999998,pequenoI
Arcos,Oeste de Minas,1085.82,18.68,1.51,7.52,15.1,39.31,20.49,69.73,36383,639615.6170000001,pequenoII
Areado,Sul/Sudoeste de Minas,919.9,17.63,2.35,34.94,11.32,33.63,12.14,62.38,13685,121197.60800000001,pequenoI
Argirita,Zona da Mata,626.57,17.98,0.41,23.38,10.85,35.91,18.68,48.88,2887,18995.083,pequenoI
Aricanduva,Jequitinhonha,376.85,26.16,0.0,65.04,4.65,22.12,3.42,22.13,4752,22795.234,pequenoI
Arinos,Noroeste de Minas,641.19,25.92,0.95,36.32,12.08,35.99,4.85,31.17,17586,125591.149,pequenoI
Astolfo Dutra,Zona da Mata,821.97,17.67,1.85,9.12,11.0,27.12,42.68,65.68,13016,162260.22,pequenoI
Ataléia,Vale do Mucuri,487.89,21.97,0.64,51.36,7.61,26.84,2.5,17.41,14410,70486.553,pequenoI
Augusto de Lima,Central Mineira,614.16,16.44,1.16,36.29,12.67,34.27,4.23,45.06,4912,42408.498,pequenoI
Baependi,Sul/Sudoeste de Minas,788.46,34.7,1.73,17.39,18.22,34.92,18.26,53.62,18097,149944.119,pequenoI
Baldim,Metropolitana de Belo Horizonte,690.86,31.22,0.86,34.95,7.54,30.91,13.93,45.6,7865,60640.858,pequenoI
Bambuí,Oeste de Minas,1074.46,23.61,1.92,23.02,13.57,41.61,7.24,55.61,22555,244317.145,pequenoII
Bandeira,Jequitinhonha,448.5,30.61,0.88,52.69,5.8,30.57,1.85,25.61,4972,25101.912,pequenoI
Bandeira do Sul,Sul/Sudoeste de Minas,829.38,17.88,1.84,21.99,6.72,22.87,29.92,60.87,5313,36834.256,pequenoI
Barão de Cocais,Metropolitana de Belo Horizonte,935.0,18.42,1.45,5.54,12.81,37.64,7.36,70.6,28404,920143.265,pequenoII
Barão de Monte Alto,Zona da Mata,621.39,18.25,0.51,29.91,16.84,31.35,11.23,44.82,5686,27267.175,pequenoI
Barbacena,Campo das Vertentes,1181.13,20.0,2.1,7.51,17.33,51.63,6.93,70.61,124847,1578866.9130000002,medioII
Barra Longa,Zona da Mata,520.18,16.89,0.0,47.58,6.95,33.17,1.87,30.84,6117,32527.262000000002,pequenoI
Barroso,Campo das Vertentes,907.19,17.45,0.77,6.63,13.83,41.76,19.91,64.18,19509,264633.293,pequenoI
Bela Vista de Minas,Metropolitana de Belo Horizonte,827.23,11.98,1.29,6.4,15.08,37.49,13.83,74.52,9999,115151.379,pequenoI
Belmiro Braga,Zona da Mata,664.55,13.34,1.81,37.33,3.31,41.55,5.55,53.39,3366,30131.042,pequenoI
Belo Horizonte,Metropolitana de Belo Horizonte,2034.94,20.31,2.76,0.49,15.92,59.26,9.15,74.62,2356435,59203074.086,grandeII
Belo Oriente,Vale do Rio Doce,834.25,12.92,1.83,11.33,11.57,35.82,16.25,65.6,23272,1223910.0320000001,pequenoII
Belo Vale,Metropolitana de Belo Horizonte,803.37,24.57,0.76,34.72,7.83,34.81,4.28,51.59,7526,61628.42,pequenoI
Berilo,Jequitinhonha,476.14,13.33,0.26,53.25,5.4,27.18,1.67,42.67,12295,52979.754,pequenoI
Bertópolis,Vale do Mucuri,480.44,21.82,0.16,48.53,6.48,32.22,2.92,15.94,4492,24369.699,pequenoI
Berizal,Norte de Minas,455.65,12.62,0.7,50.94,7.86,28.25,6.51,35.35,4351,20962.028000000002,pequenoI
Betim,Metropolitana de Belo Horizonte,1080.99,17.28,0.97,1.79,14.24,44.5,21.66,72.48,376682,23384913.444000002,medioII
Bias Fortes,Zona da Mata,407.87,24.2,0.34,52.17,6.08,25.02,6.56,33.79,3790,20822.213,pequenoI
Bicas,Zona da Mata,1038.38,23.21,2.23,7.12,15.65,44.75,17.3,64.04,13576,120559.895,pequenoI
Biquinhas,Central Mineira,996.8,36.79,0.0,40.38,7.96,39.19,6.05,37.47,2630,21516.638,pequenoI
Boa Esperança,Sul/Sudoeste de Minas,903.37,20.77,0.79,28.65,13.12,39.28,6.5,63.35,38314,427747.081,pequenoII
Bocaina de Minas,Sul/Sudoeste de Minas,691.47,23.48,1.04,33.67,7.22,38.55,6.53,28.73,4980,40641.108,pequenoI
Bocaiúva,Norte de Minas,792.71,21.48,2.13,27.19,13.23,34.15,13.11,53.09,46479,393255.1,pequenoII
Bom Despacho,Central Mineira,1149.37,17.86,4.24,12.59,18.39,41.51,14.09,68.61,45489,630340.8489999999,pequenoII
Bom Jardim de Minas,Sul/Sudoeste de Minas,668.24,21.89,2.13,25.91,14.23,40.5,5.68,49.95,6432,77839.643,pequenoI
Bom Jesus da Penha,Sul/Sudoeste de Minas,910.68,30.51,1.58,54.31,6.56,25.22,3.66,36.03,3842,57108.803,pequenoI
Bom Jesus do Amparo,Metropolitana de Belo Horizonte,672.55,18.27,1.64,31.63,10.13,42.1,3.77,51.24,5453,35971.977,pequenoI
Bom Jesus do Galho,Vale do Rio Doce,571.85,21.5,0.53,48.65,9.83,27.5,3.17,39.33,15304,73893.20599999999,pequenoI
Bom Repouso,Sul/Sudoeste de Minas,695.69,56.41,0.27,59.83,6.17,19.15,7.17,23.85,10415,71167.422,pequenoI
Bom Sucesso,Oeste de Minas,901.14,18.11,1.61,37.57,13.0,33.22,4.42,57.54,17077,162874.012,pequenoI
Bonfim,Metropolitana de Belo Horizonte,747.62,31.19,0.31,36.51,11.07,33.34,6.63,34.56,6775,42287.441,pequenoI
Bonfinópolis de Minas,Noroeste de Minas,830.57,19.07,1.47,32.32,14.58,38.8,4.37,41.48,5782,89842.996,pequenoI
Bonito de Minas,Norte de Minas,301.92,13.53,0.86,59.81,6.58,23.76,0.83,22.28,9639,33978.062000000005,pequenoI
Borda da Mata,Sul/Sudoeste de Minas,972.68,32.92,2.49,20.59,11.18,27.23,28.36,51.21,17033,160878.253,pequenoI
Botelhos,Sul/Sudoeste de Minas,981.16,25.29,1.52,51.43,8.57,26.75,3.57,53.11,14821,118635.43400000001,pequenoI
Botumirim,Norte de Minas,360.58,14.38,0.67,56.94,5.26,25.82,2.22,36.34,6478,32339.167999999998,pequenoI
Brasilândia de Minas,Noroeste de Minas,818.03,15.86,0.56,28.85,11.73,30.3,12.17,60.79,14123,102189.149,pequenoI
Brasília de Minas,Norte de Minas,553.16,24.8,1.64,37.45,13.82,34.25,4.99,33.49,31050,159395.68099999998,pequenoII
Brás Pires,Zona da Mata,404.85,22.13,0.75,51.25,7.97,27.49,4.29,25.64,4604,19658.134,pequenoI
Braúnas,Vale do Rio Doce,567.53,15.16,0.33,43.77,6.13,33.85,2.49,35.86,5027,70862.87400000001,pequenoI
Brazópolis,Sul/Sudoeste de Minas,743.27,27.52,1.29,34.23,10.92,29.35,15.63,48.53,14488,106645.985,pequenoI
Brumadinho,Metropolitana de Belo Horizonte,1474.65,19.23,1.37,9.89,10.64,46.91,4.64,63.39,33754,1335180.09,pequenoII
Bueno Brandão,Sul/Sudoeste de Minas,617.29,38.6,1.39,53.21,6.86,24.63,7.35,27.14,10837,78511.76,pequenoI
Buenópolis,Central Mineira,767.33,23.87,3.51,33.31,10.67,35.86,3.63,51.12,10187,63642.342000000004,pequenoI
Bugre,Vale do Rio Doce,573.72,14.1,0.83,41.95,7.16,28.17,5.89,31.5,3992,17386.703,pequenoI
Buritis,Noroeste de Minas,888.63,19.66,1.72,30.95,13.93,36.78,4.36,38.42,22398,336348.55799999996,pequenoII
Buritizeiro,Norte de Minas,624.18,16.41,0.97,36.34,15.4,29.33,8.44,58.61,26684,270278.577,pequenoII
Cabeceira Grande,Noroeste de Minas,767.47,19.63,0.38,47.31,9.0,30.6,3.59,47.96,6433,111086.948,pequenoI
Cabo Verde,Sul/Sudoeste de Minas,875.64,20.13,1.63,64.84,5.17,18.47,2.06,59.68,13635,133285.704,pequenoI
Cachoeira da Prata,Metropolitana de Belo Horizonte,856.44,20.22,0.75,4.92,12.8,42.17,17.5,61.38,3651,31706.357000000004,pequenoI
Cachoeira de Minas,Sul/Sudoeste de Minas,731.24,30.06,0.85,42.08,8.15,22.85,14.92,49.6,10994,122947.11,pequenoI
Cachoeira Dourada,Triângulo Mineiro/Alto Paranaíba,996.24,10.67,0.0,15.83,3.59,60.29,5.11,73.24,2497,42321.099,pequenoI
Caetanópolis,Metropolitana de Belo Horizonte,815.5,18.39,1.21,14.27,12.6,34.99,19.7,64.85,10192,148501.97699999998,pequenoI
Caeté,Metropolitana de Belo Horizonte,987.52,15.56,0.9,8.93,12.47,45.54,10.61,70.63,40470,317354.348,pequenoII
Caiana,Zona da Mata,591.79,19.31,2.21,64.27,4.79,22.93,2.44,30.98,4961,38519.633,pequenoI
Cajuri,Zona da Mata,509.66,11.38,0.0,39.97,6.49,34.87,2.19,42.36,4042,30965.055,pequenoI
Caldas,Sul/Sudoeste de Minas,838.08,32.86,1.12,39.07,8.6,29.34,8.62,40.24,13541,128849.37400000001,pequenoI
Camacho,Oeste de Minas,683.56,23.94,1.77,62.02,5.01,24.55,5.44,30.48,3151,21713.386000000002,pequenoI
Camanducaia,Sul/Sudoeste de Minas,1193.9,21.06,1.04,19.25,9.04,37.57,14.34,49.21,20847,354581.075,pequenoII
Cambuí,Sul/Sudoeste de Minas,966.41,24.94,2.12,14.54,13.42,33.57,25.68,63.46,26363,471269.619,pequenoII
Cambuquira,Sul/Sudoeste de Minas,816.35,18.46,2.86,31.68,11.58,38.02,10.03,57.95,12475,133037.491,pequenoI
Campanário,Vale do Rio Doce,684.8,13.95,0.55,29.04,11.41,39.43,0.9,35.51,3552,28411.225,pequenoI
Campanha,Sul/Sudoeste de Minas,1021.62,21.9,3.02,33.56,11.11,29.17,18.2,55.16,15304,164583.091,pequenoI
Campestre,Sul/Sudoeste de Minas,971.33,39.1,1.93,54.04,8.08,22.72,7.48,36.22,20546,204026.276,pequenoII
Campina Verde,Triângulo Mineiro/Alto Paranaíba,1037.6,22.78,2.89,28.8,10.36,38.07,7.5,50.77,18796,283776.166,pequenoI
Campo Azul,Norte de Minas,332.99,16.36,0.14,48.96,4.96,33.5,5.22,20.08,3664,19094.234,pequenoI
Campo Belo,Oeste de Minas,997.31,22.93,1.9,13.05,18.24,38.46,17.86,62.95,51235,524701.386,medioI
Campo do Meio,Sul/Sudoeste de Minas,709.35,19.67,1.72,48.22,9.16,28.09,6.74,55.77,11382,78465.129,pequenoI
Campo Florido,Triângulo Mineiro/Alto Paranaíba,1400.9,19.23,1.59,43.97,7.02,29.66,12.68,68.87,6796,205509.962,pequenoI
Campos Altos,Triângulo Mineiro/Alto Paranaíba,949.13,17.81,0.14,46.23,10.53,30.71,3.69,57.79,14151,170940.55800000002,pequenoI
Campos Gerais,Sul/Sudoeste de Minas,744.47,18.93,1.23,57.93,7.56,25.34,3.8,43.49,27443,282617.482,pequenoII
Canaã,Zona da Mata,614.4,33.15,1.5,56.45,6.98,20.26,12.78,22.5,4604,36360.292,pequenoI
Canápolis,Triângulo Mineiro/Alto Paranaíba,1105.82,15.97,1.14,28.52,10.13,30.54,21.65,58.58,11307,208976.181,pequenoI
Cana Verde,Oeste de Minas,672.07,18.6,0.94,39.47,8.89,29.08,10.42,52.91,5546,41113.705,pequenoI
Candeias,Oeste de Minas,792.41,26.08,1.89,43.43,10.69,26.27,9.23,45.69,14484,128160.76699999999,pequenoI
Cantagalo,Vale do Rio Doce,549.65,8.43,1.1,38.39,6.43,35.65,8.91,30.99,4186,21138.053,pequenoI
Caparaó,Zona da Mata,581.38,17.3,1.11,67.91,8.14,19.6,1.3,27.04,5200,46432.166,pequenoI
Capela Nova,Campo das Vertentes,440.12,23.65,0.81,48.71,11.6,24.83,5.59,29.55,4742,24541.805,pequenoI
Capelinha,Jequitinhonha,732.19,17.55,1.45,36.8,14.86,32.87,5.52,43.39,34552,256075.799,pequenoII
Capetinga,Sul/Sudoeste de Minas,858.46,19.3,1.18,47.09,9.29,24.5,9.53,51.46,6983,59623.698,pequenoI
Capim Branco,Metropolitana de Belo Horizonte,814.07,16.56,0.88,11.37,10.53,37.21,20.91,69.79,8839,62321.903,pequenoI
Capinópolis,Triângulo Mineiro/Alto Paranaíba,1557.01,15.17,2.46,21.44,12.81,36.38,21.37,66.49,15192,206239.565,pequenoI
Capitão Andrade,Vale do Rio Doce,591.6,21.61,0.68,41.0,9.49,30.91,3.96,28.39,4919,25713.563,pequenoI
Capitão Enéas,Norte de Minas,613.16,15.93,0.48,30.37,10.71,35.37,11.35,47.28,14169,155584.646,pequenoI
Capitólio,Sul/Sudoeste de Minas,972.07,24.06,2.3,21.51,10.92,42.9,9.65,56.49,8110,106156.531,pequenoI
Caputira,Zona da Mata,433.03,22.73,0.78,67.44,6.57,19.83,1.72,29.17,9023,47658.974,pequenoI
Caraí,Jequitinhonha,399.36,21.92,0.4,51.25,6.4,25.33,3.18,25.67,22175,100764.75,pequenoII
