cod_tarif,regiao,cod_modelo,ano_modelo,sexo,idade,exposicao1,premio1,exposicao2,premio2,is_media,freq_sin1,indeniz1,freq_sin2,indeniz2,freq_sin3,indeniz3,freq_sin4,indeniz4,freq_sin9,indeniz9,envio
3,13,018070-0,2013,F,5,0.983561605215073,1238.06317138672,0,0,48933.4319951934,0,0,1,12387,0,0,0,0,0,0,2018A
1,14,005309-0,2013,M,2,0.43013699166476704,341.75821685791,0,0,29094.560077184902,0,0,0,0,0,0,0,0,0,0,2018A
4,27,509032-6,2007,M,4,1.26849313825369,2721.27421569824,0,0,64557.219638929804,0,0,0,0,0,0,0,0,1,410,2018A
2,09,021310-1,2016,J,0,0.164383552968502,1139.14208984375,0,0,166612.159997375,0,0,0,0,0,0,0,0,0,0,2018A
1,29,251399-9,2015,M,1,0.139726027846336,386.122955322266,0,0,34574.999505911095,0,0,0,0,0,0,0,0,0,0,2018A
3,23,005291-4,2014,M,5,1.02191775292158,3013.7269401550298,0,0,88588.6125572116,0,0,0,0,0,0,0,0,1,326,2018A
3,39,009172-3,2015,M,2,0.841095864772797,2296.70983886719,0,0,97914.5805815744,0,0,0,0,0,0,0,0,0,0,2018A
3,00,003363-4,2014,M,4,0.884931474924088,3193.43347167969,0,0,94713.9014432614,0,0,0,0,0,0,0,0,0,0,2018A
4,16,515126-0,2011,M,3,3.4164382629096495,9439.31651306152,0,0,82645.2807103001,0,0,0,0,0,0,0,0,0,0,2018A
1,21,004001-0,1999,F,4,2.02191773056984,1756.50001525879,0,0,8610.54894176005,0,0,0,0,0,0,0,0,0,0,2018A
3,25,001293-9,2016,F,2,1.73424652218819,2734.3415222168,0,0,33397.514417161205,0,0,0,0,0,0,0,0,0,0,2018A
1,10,003270-0,2005,F,5,0.504109561443329,613.333312988281,0,0,21188.9993077195,0,0,0,0,0,0,0,0,0,0,2018A
1,02,005265-5,2009,M,3,2.0520547479391102,1604.32513427734,0,0,24433.7582700091,0,0,2,6214,0,0,0,0,0,0,2018A
1,11,005032-6,1991,M,0,0.504109561443329,105.573768615723,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2018A
1,11,025269-7,2018,0,0,0.342465758323669,320.69671630859403,0,0,51283.0011413908,0,0,0,0,0,0,0,0,0,0,2018A
3,19,022159-7,2017,F,5,0.394520550966263,1836.9836425781302,0,0,148625.000760769,0,0,0,0,0,0,0,0,0,0,2018A
1,14,017033-0,2016,J,2,0.24383561313152302,498.864440917969,0,0,68180.9964697717,0,0,0,0,0,0,0,0,0,0,2018A
1,11,005450-0,2016,J,0,0.7068492919206619,2877.80877685547,0,0,89467.5193951714,0,0,0,0,0,0,0,0,0,0,2018A
3,11,021172-9,2009,F,4,0.504109561443329,2031.03820800781,0,0,113653.996647494,0,0,0,0,0,0,0,0,0,0,2018A
3,36,001388-9,2016,J,2,0.931506842374802,1537.91534423828,0,0,29500.1204629497,0,0,0,0,0,0,0,0,0,0,2018A
2,23,003335-9,2009,M,4,0.0986301377415657,162.98361206054702,0,0,35631.0009071672,0,0,0,0,0,0,0,0,0,0,2018A
1,00,004432-6,2015,J,0,1.3698630109429397,1268.8278503417998,0,0,37238.3754704186,0,0,0,0,0,0,0,0,0,0,2018A
1,14,004345-1,2009,M,2,0.6876711994409561,848.0451049804691,0,0,26153.9204581836,0,0,0,0,0,0,0,0,0,0,2018A
2,04,003351-0,2012,M,2,1.82739724963903,2094.8414039611803,0,0,30883.908156472404,0,0,0,0,0,0,0,0,0,0,2018A
3,24,004395-8,2014,F,4,1.4465752989053702,3490.8203277587895,0,0,91327.3054770943,0,0,0,0,0,0,0,0,0,0,2018A
1,16,001262-9,2012,0,0,0.504109561443329,676.010986328125,0,0,16619.9997422423,2,33548,1,4573,1,16617,0,0,2,1228,2018A
1,21,015100-9,2014,F,1,1.71506851911545,2017.9450531005898,0,0,38555.9002484007,0,0,0,0,0,0,0,0,0,0,2018A
1,39,004419-9,2013,F,4,2.6301369033753903,3432.79612445831,0,0,34453.7042882257,0,0,0,0,0,0,0,0,1,118,2018A
1,02,005276-0,2013,M,0,0.400000005960464,536.928955078125,0,0,30168.000038742997,0,0,0,0,0,0,0,0,0,0,2018A
1,02,004080-0,2012,F,4,0.17260274291038502,64.37705230712889,0,0,21164.999473892,0,0,0,0,0,0,0,0,0,0,2018A
1,37,025185-2,2016,J,0,0.5068493336439129,464.672012329102,0,0,37321.2823500196,0,0,0,0,0,0,0,0,0,0,2018A
1,09,014048-1,2007,F,1,0.81095889955759,1015.3348236083999,0,0,29883.496999684703,0,0,0,0,0,0,0,0,0,0,2018A
3,35,002093-1,2005,F,4,0.41917806863784796,1187.63110351563,0,0,65694.0007965713,0,0,0,0,0,0,0,0,0,0,2018A
1,10,001237-8,2008,F,1,0.7643835246562959,990.666656494141,0,0,15465.0392245459,0,0,0,0,0,0,0,0,0,0,2018A
