cod,seguradora,roa,roe,giro_ativo,endividamento,endividamento_comp,margem_lucro_bruto,margem_lucro_liquido,imobilizacao_ativo,sinistralidade,taxa_despesas_comercializacao,taxa_despesas_adm,combinado,combinado_ampliado,pmcr,liquidez_geral,liquidez_corrente,beneficiarios,tiquete_medio,ativo_total,ativo_circ,ativo_nao,aplicacoes,conta_corrente_cooperados,contraprestacao_a_receber,contraprestacoes_efetivas1,contraprestacoes_efetivas2,contraprestacoes_liquidas,contribuicao_social,creditos_n_opas,creditos_opas,debitos_diversos,debitos_n_opas,debitos_opas,despesas,despesas_adm,despesas_comercializacao,despesas_de_comercializacao_diferidas,despesas_emp,despesas_financeiras,despesas_patrimoniais,disponível,emprestimos_a_pagar,exigivel_a_longo_prazo,imobilizado,imposto_renda,impostos_diferidos,impostos_participacoes_lucro,intangível,investimentos,neg_recuperacao_outras_despesas_operacionais1,operadoras_pas,outras_despesas,outras_despesas_operacionais1,outras_receitas_operacionais1,outros_creditos_opas1,outros_creditos_opas2,outros_valores_e_bens1,outros_valores_e_bens2,outros_valores_e_bens3,participacoes_resultados,passivo_circ,passivo_nao,passivo_total,patrimonio_liquido,prov_contigencias,prov_opas_lp1,prov_perdas_creditos,prov_tecnicas_opas,provisoes,realizável a longo prazo,receita_adm_pas,receita_sus,receitas,receitas_financeiras,receitas_patrimoniais,resultado_acumulado,sinistros_conhecidos,sinistros_indenizaveis_liquidos,taxas_a_receber,titulos_a_receber,tributos_a_recolher,tributos_diretos_opas,variacao_das_prov_tec,variacao_peona,ativo_nivel,receitas_nivel,despesas_emp_nivel,modalidade
27,salutar saúde seguradora s.a.     ,,,2.197470961355864,0.8180180869377659,0.8060300242790355,,,0.4953936988408357,0.7733911437606971,0.12583417311519307,0.18198759251393076,1.0812129093898208,,22.44593877635393,1.2224668573570048,0.6260390878249433,20638,4455.219700067836,41.84,21.11,20.73,8.04,,5.73,93.79,-1.84,93.79,,,5.73,1.49,,1.24,106.37,16.73,11.57,,2.69,0.88,,1.85,,0.5,0.15,,,,0.08,2.82,,,,4.92,0.04,,,5.29,0.08,,,33.73,2.44,41.84,5.68,,0.5,1.15,27.74,,17.68,,,95.45,,3.47,,68.18,71.11,,0.12,3.26,-1.84,,2.93,n3,n4,n3,Seguradora Especializada em Saúde
477,sompo saúde seguros s.a.          ,0.0219290647299639,0.04110455324497581,1.5703745479593805,0.38486106938026715,0.3412860444857534,,0.013964225769234206,0.47606116037797414,0.8619334195924677,0.057492160140632124,0.10768254136448942,1.0271081210975892,,12.05596691613197,2.598340231217143,1.5351897567669142,96681,5217.43340501236,321.21,168.3,152.92,136.54,,3.63,505.64,-1.21,506.18,2.33,,16.89,12.86,,1.68,524.74,54.32,29.0,3.26,17.72,2.87,0.0,4.12,,14.0,4.3,3.14,,7.18,2.5,,,,,1.63,0.02,13.26,0.01,1.15,0.51,,1.71,109.63,40.22,321.21,171.37,,14.0,2.14,92.97,,146.12,,,538.97,,34.52,,439.26,434.78,,5.82,2.11,-1.21,-0.54,-4.47,n4,n5,n5,Seguradora Especializada em Saúde
515,allianz saúde s/a                 ,-0.047659128964963944,-0.0844324820219843,1.3033966022668788,0.3824525128386667,0.3712443945638209,,-0.036565331597515884,0.7992274132908842,0.9455223065712106,0.09469738481760627,0.09663213202268915,1.136851823411506,,10.953358811132466,2.614703698970959,0.5408097459491766,37629,11792.188459964389,340.44,68.35,272.09,10.48,,10.01,446.26,-2.53,445.7,,,13.5,9.59,,3.0,503.24,42.88,42.02,0.39,16.28,0.85,0.07,35.41,,3.82,0.5,0.0,0.7,2.7,,,,,1.86,3.6,5.13,2.48,1.01,0.2,0.01,,1.99,126.39,21.89,340.44,192.17,,3.82,-7.6,101.27,10.49,271.59,,,489.71,,40.8,,434.65,419.55,,8.36,2.04,-2.53,0.56,-15.1,n4,n5,n5,Seguradora Especializada em Saúde
582,porto seguro - seguro saúde s/a   ,0.02833827562800953,0.07386293919413513,1.6680727133673021,0.33133143486268773,0.3267489084727536,0.20870426455190955,0.016988633289734514,0.4265803009272323,0.7922852335224723,0.0834909072783566,0.11809781230294444,0.9938739531037732,,9.390391536627826,3.0181259451413824,1.7549246048073115,247437,4448.044727385152,659.81,378.35,281.46,292.84,,22.73,1112.53,-11.92,1114.13,4.91,,28.71,13.97,,2.98,1126.94,129.98,91.89,10.07,23.14,13.57,,0.1,,3.02,25.18,6.68,,13.21,8.37,,,,2.91,13.88,,5.8,0.18,43.3,0.46,,1.62,215.59,191.07,659.81,253.14,,3.02,2.72,188.31,4.51,247.91,,4.0,1158.84,,54.23,,868.34,872.0,,2.87,5.82,-11.92,-1.61,3.65,n4,n6,n5,Seguradora Especializada em Saúde
701,unimed seguros saúde s/a          ,0.06457555370584885,0.12192618876782686,1.866707205073724,0.3928997131815352,0.3853614305883082,0.15325181600197274,0.03459329536540707,0.4137993075992705,0.8465086927521827,0.04733753906751949,0.07990499777024176,0.973751229589944,,7.632101348618114,2.5451787477838153,1.521171154844978,485613,4062.079764874499,1056.73,619.45,437.27,542.07,,41.69,1986.5,-13.9,1986.44,29.49,,41.82,27.09,,7.96,1950.83,157.62,93.38,8.99,46.29,6.61,4.03,13.08,3.63,7.97,20.92,35.5,-4.44,63.78,9.07,10.26,,,1.24,11.04,0.57,0.13,,1.91,1.51,,3.23,407.22,89.83,1056.73,559.67,,7.97,7.08,351.32,,397.02,,0.77,2082.85,,108.65,,1681.25,1669.82,,10.07,17.21,-13.9,0.07,-11.43,n4,n6,n5,Seguradora Especializada em Saúde
884,itauseg saúde s.a.                ,0.10660200844044863,0.20219888052616275,,0.11452941147943256,0.11358005033151587,,,0.9167702480920976,,,,,,,8.731381634485935,0.7327849535633466,10404,,2090.81,174.02,1916.79,151.3,,12.92,150.93,,156.8,16.38,,12.92,5.25,,11.96,265.87,27.71,0.18,0.01,3.08,0.06,,2.29,,1.98,0.0,19.78,-8.44,28.91,,643.14,,,26.09,0.01,,,,3.48,0.65,,1.2,237.47,751.03,2090.81,1102.3,,1.98,-0.01,199.38,20.29,1273.65,,0.99,517.66,,172.93,,211.34,211.82,,3.37,0.6,,-5.88,0.49,n4,n5,n3,Seguradora Especializada em Saúde
5711,bradesco saúde s.a.               ,0.03514761798358499,0.09470106956651639,,0.5824801240970735,0.38140512763973505,,,0.6539368874141894,,,,,,,1.7167967774868562,0.9073373363577125,3339866,,15736.71,5445.9,10290.82,2679.61,,1683.09,18273.11,,19044.68,55.33,,1704.07,652.81,,203.07,19292.11,845.63,1039.37,458.46,131.19,97.99,0.0,2.59,,3164.26,7.4,31.13,225.7,324.57,213.82,628.93,,,141.76,330.24,0.19,16.63,4.36,76.22,0.51,,12.41,6002.06,3894.08,15736.71,5840.57,3.87,3164.26,55.82,4974.4,86.33,9440.67,,0.9,20169.79,,1748.27,-1.9,16543.37,16777.42,,524.43,85.46,,-771.57,234.05,n4,n6,n6,Seguradora Especializada em Saúde
6246,sul america companhia de seguro sa,0.1021988003198935,0.19747387136807085,1.5046265747328424,0.338336988503227,0.3337515001641515,0.1906442151067615,0.06792303288810358,0.47381385457268194,0.8110319435296726,0.0645352191813156,0.05536064268513632,0.9309278053961244,,6.9598063211475205,2.9556330935731023,1.5765806151238873,1771013,6827.38371748824,8036.14,4228.5,3807.63,3685.91,,223.66,12206.32,-114.94,12213.72,183.2,,233.76,177.6,22.12,70.33,12001.23,669.39,780.32,147.75,173.07,395.16,0.14,18.07,1.0,36.85,41.35,218.13,-45.61,388.21,88.43,1567.79,,0.0,13.64,252.35,,10.1,,86.26,3.28,,32.5,2682.07,1195.12,8036.14,4158.95,0.86,36.85,82.86,2280.43,61.52,2110.06,,33.9,13210.72,,684.51,-402.04,9868.38,9806.5,,53.48,69.07,-114.94,-7.4,-62.81,n4,n6,n6,Seguradora Especializada em Saúde
300012,cemil centro medico de itu ltda.  ,,,1.9190657340658135,,0.41633843877291277,,,0.25218592040957627,0.7445992719293701,0.03421971213278832,0.13328684873446156,0.9121058327966199,,31.12221260562369,,1.796168717436899,9349,1559.2333447427532,7.6,5.68,1.92,4.15,,1.26,14.79,-0.21,14.79,,,1.26,0.25,,,13.45,1.94,0.5,,0.4,0.16,,0.01,0.01,,1.44,,,,0.0,0.02,,,,,,,,0.03,0.0,,,3.16,,7.6,4.43,,,,2.71,,0.46,,0.03,15.22,,0.6,,10.85,10.85,,0.24,0.2,-0.21,,,n2,n4,n1,Medicina de Grupo
300136,unimed litoral sul/rs - cooperativ,,,1.725001701923692,0.47491762389104974,0.44438695179478843,0.24328074831276983,,0.42632880893246217,0.7992396247158327,0.027562715339251462,0.1891334761176891,1.0159358161727732,1.056748145512757,13.031966560815055,2.1056283230908455,1.2909271722551632,28295,2732.232742180597,44.82,25.71,19.11,12.97,0.1,2.8,78.26,-0.96,78.43,,6.81,2.8,5.25,1.21,,115.48,14.62,2.13,,4.48,1.95,0.05,0.41,1.76,1.37,8.57,,,,0.0,0.74,,,33.93,0.97,0.09,,,1.37,0.24,0.0,,19.92,11.39,44.82,13.51,,1.37,0.04,10.04,,9.8,,37.21,115.51,-1.04,1.79,,62.22,61.79,,1.09,1.56,-0.96,-0.17,-0.43,n3,n5,n3,Cooperativa Médica
300713,unimed de assis cooperativa de tra,0.05373378593909692,0.17433542384855946,1.7548972258557425,0.5462215961510115,0.5254531626087326,0.2657741483668236,0.030619334937346348,0.25660239653348643,0.7794468781097199,0.006044252330012857,0.19115191322116507,0.9766430436608978,,31.249993755522695,1.8307588111612016,1.4147742489087813,24154,2259.179357456322,31.09,23.12,7.98,8.73,0.02,4.74,55.43,-0.86,55.47,0.14,2.93,4.74,2.3,,0.0,60.88,10.43,0.33,,2.71,1.8,0.0,4.18,0.35,0.65,4.61,0.35,,0.55,0.05,2.13,,,3.66,1.59,0.0,,,1.73,0.01,,0.06,16.34,5.17,31.09,9.58,0.28,0.65,0.26,12.23,,1.19,,6.13,63.09,,2.25,,42.53,42.53,,0.79,1.43,-0.86,-0.04,-0.0,n3,n4,n3,Cooperativa Médica
