,dia,horario,transacao,item,valor
30/10/2016 09:58:11,domingo,09:58:11,1,Bread,2.0
30/10/2016 10:05:34,domingo,10:05:34,2,Scandinavian,3.0
30/10/2016 10:05:34,domingo,10:05:34,2,Scandinavian,3.0
30/10/2016 10:07:57,domingo,10:07:57,3,Hot chocolate,2.5
30/10/2016 10:07:57,domingo,10:07:57,3,Jam,2.0
30/10/2016 10:07:57,domingo,10:07:57,3,Cookies,1.5
30/10/2016 10:08:41,domingo,10:08:41,4,Muffin,1.75
30/10/2016 10:13:03,domingo,10:13:03,5,Coffee,1.5
30/10/2016 10:13:03,domingo,10:13:03,5,Pastry,3.0
30/10/2016 10:13:03,domingo,10:13:03,5,Bread,2.0
30/10/2016 10:16:55,domingo,10:16:55,6,Medialuna,3.0
30/10/2016 10:16:55,domingo,10:16:55,6,Pastry,3.0
30/10/2016 10:16:55,domingo,10:16:55,6,Muffin,1.75
30/10/2016 10:19:12,domingo,10:19:12,7,Medialuna,3.0
30/10/2016 10:19:12,domingo,10:19:12,7,Pastry,3.0
30/10/2016 10:19:12,domingo,10:19:12,7,Coffee,1.5
30/10/2016 10:19:12,domingo,10:19:12,7,Tea,1.5
30/10/2016 10:20:51,domingo,10:20:51,8,Pastry,3.0
30/10/2016 10:20:51,domingo,10:20:51,8,Bread,2.0
30/10/2016 10:21:59,domingo,10:21:59,9,Bread,2.0
30/10/2016 10:21:59,domingo,10:21:59,9,Muffin,1.75
30/10/2016 10:25:58,domingo,10:25:58,10,Scandinavian,3.0
30/10/2016 10:25:58,domingo,10:25:58,10,Medialuna,3.0
30/10/2016 10:27:21,domingo,10:27:21,11,Bread,2.0
30/10/2016 10:27:21,domingo,10:27:21,11,Medialuna,3.0
30/10/2016 10:27:21,domingo,10:27:21,11,Bread,2.0
30/10/2016 10:30:14,domingo,10:30:14,12,Jam,2.0
30/10/2016 10:30:14,domingo,10:30:14,12,Coffee,1.5
30/10/2016 10:30:14,domingo,10:30:14,12,Tartine,3.0
30/10/2016 10:30:14,domingo,10:30:14,12,Pastry,3.0
30/10/2016 10:30:14,domingo,10:30:14,12,Tea,1.5
30/10/2016 10:31:24,domingo,10:31:24,13,Basket,5.0
30/10/2016 10:31:24,domingo,10:31:24,13,Bread,2.0
30/10/2016 10:31:24,domingo,10:31:24,13,Coffee,1.5
30/10/2016 10:32:46,domingo,10:32:46,14,Bread,2.0
30/10/2016 10:32:46,domingo,10:32:46,14,Medialuna,3.0
30/10/2016 10:32:46,domingo,10:32:46,14,Pastry,3.0
30/10/2016 10:34:36,domingo,10:34:36,15,Mineral water,1.25
30/10/2016 10:34:36,domingo,10:34:36,15,Scandinavian,3.0
30/10/2016 10:37:08,domingo,10:37:08,16,Bread,2.0
30/10/2016 10:37:08,domingo,10:37:08,16,Medialuna,3.0
30/10/2016 10:37:08,domingo,10:37:08,16,Coffee,1.5
30/10/2016 10:38:04,domingo,10:38:04,17,Hot chocolate,2.5
30/10/2016 10:41:56,domingo,10:41:56,18,Farm House,2.0
30/10/2016 10:43:08,domingo,10:43:08,19,Farm House,2.0
30/10/2016 10:43:08,domingo,10:43:08,19,Bread,2.0
30/10/2016 10:45:22,domingo,10:45:22,20,Bread,2.0
30/10/2016 10:45:22,domingo,10:45:22,20,Medialuna,3.0
30/10/2016 10:49:29,domingo,10:49:29,21,Coffee,1.5
30/10/2016 10:49:29,domingo,10:49:29,21,Coffee,1.5
30/10/2016 10:49:29,domingo,10:49:29,21,Medialuna,3.0
30/10/2016 10:49:29,domingo,10:49:29,21,Bread,2.0
30/10/2016 10:52:15,domingo,10:52:15,22,Jam,2.0
30/10/2016 10:53:49,domingo,10:53:49,23,Scandinavian,3.0
